Year,co2_emissions,temp_change,cumulative_co2,change_temp
2010,33364.3465,0.9994551971,0,0.9994551971
2011,34487.01162,0.8258007766,1.122665122,1.825255974
2012,35006.26758,0.8315937873,1.641921085,1.657394564
2013,35319.20162,0.9242649343,1.954855128,1.755858722
2014,35577.53477,1.061746117,2.213188278,1.986011051
2015,35558.56574,1.24630914,2.194219239,2.308055257
2016,35524.19321,1.332841398,2.159846716,2.579150538
2017,36096.73928,1.206060932,2.73239278,2.53890233
2018,36826.5066,1.217938769,3.462160104,2.423999701
2019,37082.55897,1.373304958,3.718212473,2.591243727
