"","year","variable","value"
"1",2010,"temp_change",0.9994551971
"2",2011,"temp_change",0.8258007766
"3",2012,"temp_change",0.8315937873
"4",2013,"temp_change",0.9242649343
"5",2014,"temp_change",1.061746117
"6",2015,"temp_change",1.24630914
"7",2016,"temp_change",1.332841398
"8",2017,"temp_change",1.206060932
"9",2018,"temp_change",1.217938769
"10",2019,"temp_change",1.373304958
"11",2010,"co2_emissions",0.776158
"12",2011,"co2_emissions",0.875781
"13",2012,"co2_emissions",0.887984
"14",2013,"co2_emissions",0.871215
"15",2014,"co2_emissions",0.847727
"16",2015,"co2_emissions",0.788002
"17",2016,"co2_emissions",0.728065
"18",2017,"co2_emissions",0.749682
"19",2018,"co2_emissions",0.792753
"20",2019,"co2_emissions",0.775633
