"","Area","variable","val"
"1","Afghanistan","Y1961",0.07275
"2","Afghanistan","Y1962",-0.229833333333333
"3","Afghanistan","Y1963",0.891583333333333
"4","Afghanistan","Y1964",-0.98
"5","Afghanistan","Y1965",0.00999999999999999
"6","Afghanistan","Y1966",0.241416666666667
"7","Afghanistan","Y1967",-0.362666666666667
"8","Afghanistan","Y1968",-0.339416666666667
"9","Afghanistan","Y1969",-0.330666666666667
"10","Afghanistan","Y1970",0.676666666666667
"11","Afghanistan","Y1971",0.837416666666667
"12","Afghanistan","Y1972",-1.50541666666667
"13","Afghanistan","Y1973",0.329416666666667
"14","Afghanistan","Y1974",-0.554916666666667
"15","Afghanistan","Y1975",-0.398916666666667
"16","Afghanistan","Y1976",-0.31875
"17","Afghanistan","Y1977",0.708916666666667
"18","Afghanistan","Y1978",0.237416666666667
"19","Afghanistan","Y1979",0.226833333333333
"20","Afghanistan","Y1980",0.595166666666667
"21","Afghanistan","Y1981",0.50375
"22","Afghanistan","Y1982",-0.638916666666667
"23","Afghanistan","Y1983",0.239083333333333
"24","Afghanistan","Y1984",-0.0923333333333333
"25","Afghanistan","Y1985",0.47875
"26","Afghanistan","Y1986",-0.174
"27","Afghanistan","Y1987",0.5655
"28","Afghanistan","Y1988",0.9515
"29","Afghanistan","Y1989",-0.2115
"30","Afghanistan","Y1990",0.55825
"31","Afghanistan","Y1991",0.0116666666666667
"32","Afghanistan","Y1992",-0.29475
"33","Afghanistan","Y1993",0.05975
"34","Afghanistan","Y1994",0.368666666666667
"35","Afghanistan","Y1995",0.28875
"36","Afghanistan","Y1996",0.0453333333333333
"37","Afghanistan","Y1997",0.425416666666667
"38","Afghanistan","Y1998",0.88
"39","Afghanistan","Y1999",1.043
"40","Afghanistan","Y2000",0.97725
"41","Afghanistan","Y2001",1.41225
"42","Afghanistan","Y2002",1.03441666666667
"43","Afghanistan","Y2003",0.696333333333333
"44","Afghanistan","Y2004",1.33908333333333
"45","Afghanistan","Y2005",0.44325
"46","Afghanistan","Y2006",1.40975
"47","Afghanistan","Y2007",0.720083333333333
"48","Afghanistan","Y2008",0.802833333333333
"49","Afghanistan","Y2009",0.849416666666667
"50","Afghanistan","Y2010",1.47216666666667
"51","Afghanistan","Y2011",1.20608333333333
"52","Afghanistan","Y2012",0.212166666666667
"53","Afghanistan","Y2013",1.25783333333333
"54","Afghanistan","Y2014",0.492416666666667
"55","Afghanistan","Y2015",1.09933333333333
"56","Afghanistan","Y2016",1.75475
"57","Afghanistan","Y2017",1.23341666666667
"58","Afghanistan","Y2018",1.596
"59","Afghanistan","Y2019",0.902416666666667
"60","Africa","Y1961",-0.118916666666667
"61","Africa","Y1962",0.00758333333333333
"62","Africa","Y1963",0.08325
"63","Africa","Y1964",-0.204666666666667
"64","Africa","Y1965",-0.194666666666667
"65","Africa","Y1966",0.15025
"66","Africa","Y1967",-0.228166666666667
"67","Africa","Y1968",-0.166583333333333
"68","Africa","Y1969",0.348833333333333
"69","Africa","Y1970",0.168666666666667
"70","Africa","Y1971",-0.219833333333333
"71","Africa","Y1972",0.0650833333333333
"72","Africa","Y1973",0.32725
"73","Africa","Y1974",-0.268916666666667
"74","Africa","Y1975",-0.177333333333333
"75","Africa","Y1976",-0.2095
"76","Africa","Y1977",0.189666666666667
"77","Africa","Y1978",0.117333333333333
"78","Africa","Y1979",0.388666666666667
"79","Africa","Y1980",0.354583333333333
"80","Africa","Y1981",0.194416666666667
"81","Africa","Y1982",0.131
"82","Africa","Y1983",0.4405
"83","Africa","Y1984",0.304583333333333
"84","Africa","Y1985",0.31275
"85","Africa","Y1986",0.2415
"86","Africa","Y1987",0.80275
"87","Africa","Y1988",0.477916666666667
"88","Africa","Y1989",0.0785
"89","Africa","Y1990",0.6035
"90","Africa","Y1991",0.255
"91","Africa","Y1992",0.173083333333333
"92","Africa","Y1993",0.443666666666667
"93","Africa","Y1994",0.353416666666667
"94","Africa","Y1995",0.642916666666667
"95","Africa","Y1996",0.548583333333333
"96","Africa","Y1997",0.589583333333333
"97","Africa","Y1998",0.94425
"98","Africa","Y1999",0.654166666666667
"99","Africa","Y2000",0.509333333333333
"100","Africa","Y2001",0.728166666666667
"101","Africa","Y2002",0.886416666666667
"102","Africa","Y2003",0.97525
"103","Africa","Y2004",0.848416666666667
"104","Africa","Y2005",1.12366666666667
"105","Africa","Y2006",0.842833333333333
"106","Africa","Y2007",0.85025
"107","Africa","Y2008",0.79825
"108","Africa","Y2009",1.05158333333333
"109","Africa","Y2010",1.50866666666667
"110","Africa","Y2011",0.8695
"111","Africa","Y2012",0.828916666666667
"112","Africa","Y2013",0.9975
"113","Africa","Y2014",1.05475
"114","Africa","Y2015",1.20783333333333
"115","Africa","Y2016",1.50125
"116","Africa","Y2017",1.174
"117","Africa","Y2018",1.242
"118","Africa","Y2019",1.43341666666667
"119","Albania","Y1961",0.4075
"120","Albania","Y1962",0.197333333333333
"121","Albania","Y1963",0.32575
"122","Albania","Y1964",-0.207833333333333
"123","Albania","Y1965",-0.348833333333333
"124","Albania","Y1966",0.422583333333333
"125","Albania","Y1967",-0.0760833333333334
"126","Albania","Y1968",0.0564166666666666
"127","Albania","Y1969",-0.0434166666666667
"128","Albania","Y1970",-0.05425
"129","Albania","Y1971",-0.264583333333333
"130","Albania","Y1972",-0.139166666666667
"131","Albania","Y1973",-0.24325
"132","Albania","Y1974",-0.187583333333333
"133","Albania","Y1975",-0.145416666666667
"134","Albania","Y1976",-0.677166666666667
"135","Albania","Y1977",0.438083333333333
"136","Albania","Y1978",-0.53775
"137","Albania","Y1979",0.235166666666667
"138","Albania","Y1980",-0.6005
"139","Albania","Y1981",-0.14775
"140","Albania","Y1982",0.309916666666667
"141","Albania","Y1983",-0.202833333333333
"142","Albania","Y1984",-0.198166666666667
"143","Albania","Y1985",0.14125
"144","Albania","Y1986",0.324916666666667
"145","Albania","Y1987",0.195666666666667
"146","Albania","Y1988",0.268666666666667
"147","Albania","Y1989",0.1055
"148","Albania","Y1990",0.791166666666667
"149","Albania","Y1991",-0.43925
"150","Albania","Y1992",0.338166666666667
"151","Albania","Y1993",0.331416666666667
"152","Albania","Y1994",1.27241666666667
"153","Albania","Y1995",0.0340833333333334
"154","Albania","Y1996",-0.0618333333333334
"155","Albania","Y1997",0.156916666666667
"156","Albania","Y1998",0.652916666666667
"157","Albania","Y1999",1.01458333333333
"158","Albania","Y2000",1.19725
"159","Albania","Y2001",1.10841666666667
"160","Albania","Y2002",0.948416666666667
"161","Albania","Y2003",1.03733333333333
"162","Albania","Y2004",0.635416666666667
"163","Albania","Y2005",0.16625
"164","Albania","Y2006",0.514166666666667
"165","Albania","Y2007",1.33208333333333
"166","Albania","Y2008",1.32283333333333
"167","Albania","Y2009",1.08116666666667
"168","Albania","Y2010",1.17316666666667
"169","Albania","Y2011",1.14391666666667
"170","Albania","Y2012",1.47566666666667
"171","Albania","Y2013",1.56125
"172","Albania","Y2014",1.4945
"173","Albania","Y2015",1.67475
"174","Albania","Y2016",1.58216666666667
"175","Albania","Y2017",1.44958333333333
"176","Albania","Y2018",2.19566666666667
"177","Albania","Y2019",2.07833333333333
"178","Algeria","Y1961",0.350416666666667
"179","Algeria","Y1962",-1.15715994367567e-17
"180","Algeria","Y1963",0.23175
"181","Algeria","Y1964",-0.00824999999999998
"182","Algeria","Y1965",-0.0319166666666667
"183","Algeria","Y1966",0.28575
"184","Algeria","Y1967",-0.093
"185","Algeria","Y1968",0.08675
"186","Algeria","Y1969",0.150083333333333
"187","Algeria","Y1970",0.167
"188","Algeria","Y1971",-0.4085
"189","Algeria","Y1972",-0.453166666666667
"190","Algeria","Y1973",-0.00716666666666668
"191","Algeria","Y1974",-0.48175
"192","Algeria","Y1975",-0.42275
"193","Algeria","Y1976",-0.785
"194","Algeria","Y1977",0.52975
"195","Algeria","Y1978",0.14775
"196","Algeria","Y1979",0.48975
"197","Algeria","Y1980",0.143666666666667
"198","Algeria","Y1981",0.536666666666667
"199","Algeria","Y1982",0.162
"200","Algeria","Y1983",0.74625
"201","Algeria","Y1984",0.0375
"202","Algeria","Y1985",0.618916666666667
"203","Algeria","Y1986",0.342416666666667
"204","Algeria","Y1987",1.33858333333333
"205","Algeria","Y1988",1.01358333333333
"206","Algeria","Y1989",0.82075
"207","Algeria","Y1990",1.05383333333333
"208","Algeria","Y1991",0.0568333333333333
"209","Algeria","Y1992",-0.148416666666667
"210","Algeria","Y1993",0.56625
"211","Algeria","Y1994",0.781083333333333
"212","Algeria","Y1995",0.848416666666667
"213","Algeria","Y1996",0.85325
"214","Algeria","Y1997",1.07216666666667
"215","Algeria","Y1998",1.06541666666667
"216","Algeria","Y1999",1.5845
"217","Algeria","Y2000",1.08416666666667
"218","Algeria","Y2001",1.87791666666667
"219","Algeria","Y2002",1.44141666666667
"220","Algeria","Y2003",1.517
"221","Algeria","Y2004",1.09991666666667
"222","Algeria","Y2005",1.30125
"223","Algeria","Y2006",1.48983333333333
"224","Algeria","Y2007",1.28708333333333
"225","Algeria","Y2008",1.23675
"226","Algeria","Y2009",1.33858333333333
"227","Algeria","Y2010",2.32366666666667
"228","Algeria","Y2011",1.29683333333333
"229","Algeria","Y2012",1.26741666666667
"230","Algeria","Y2013",1.20658333333333
"231","Algeria","Y2014",1.772
"232","Algeria","Y2015",1.31075
"233","Algeria","Y2016",1.92933333333333
"234","Algeria","Y2017",1.47216666666667
"235","Algeria","Y2018",1.43708333333333
"236","Algeria","Y2019",1.31675
"237","American Samoa","Y1961",-0.03525
"238","American Samoa","Y1962",-0.116916666666667
"239","American Samoa","Y1963",0.106583333333333
"240","American Samoa","Y1964",-0.296083333333333
"241","American Samoa","Y1965",-0.3885
"242","American Samoa","Y1966",0.115
"243","American Samoa","Y1967",-0.360083333333333
"244","American Samoa","Y1968",-0.137583333333333
"245","American Samoa","Y1969",0.08625
"246","American Samoa","Y1970",-0.13825
"247","American Samoa","Y1971",-0.372333333333333
"248","American Samoa","Y1972",0.115833333333333
"249","American Samoa","Y1973",0.267583333333333
"250","American Samoa","Y1974",-0.16125
"251","American Samoa","Y1975",0.0261666666666667
"252","American Samoa","Y1976",-0.157666666666667
"253","American Samoa","Y1977",0.200333333333333
"254","American Samoa","Y1978",0.0265833333333333
"255","American Samoa","Y1979",0.318333333333333
"256","American Samoa","Y1980",0.33675
"257","American Samoa","Y1981",0.157833333333333
"258","American Samoa","Y1982",0.344666666666667
"259","American Samoa","Y1983",0.266
"260","American Samoa","Y1984",0.27275
"261","American Samoa","Y1985",0.282916666666667
"262","American Samoa","Y1986",0.34975
"263","American Samoa","Y1987",0.410333333333333
"264","American Samoa","Y1988",0.422
"265","American Samoa","Y1989",0.174833333333333
"266","American Samoa","Y1990",0.587333333333333
"267","American Samoa","Y1991",0.926333333333333
"268","American Samoa","Y1992",0.666666666666667
"269","American Samoa","Y1993",0.126
"270","American Samoa","Y1994",0.0623333333333333
"271","American Samoa","Y1995",0.740083333333333
"272","American Samoa","Y1996",0.731166666666667
"273","American Samoa","Y1997",0.403083333333333
"274","American Samoa","Y1998",-0.127833333333333
"275","American Samoa","Y1999",0.176833333333333
"276","American Samoa","Y2000",0.481083333333333
"277","American Samoa","Y2001",0.842
"278","American Samoa","Y2002",0.9445
"279","American Samoa","Y2003",0.551
"280","American Samoa","Y2004",0.563416666666667
"281","American Samoa","Y2005",0.5995
"282","American Samoa","Y2006",1.02366666666667
"283","American Samoa","Y2007",1.28666666666667
"284","American Samoa","Y2008",0.738166666666667
"285","American Samoa","Y2009",0.617166666666667
"286","American Samoa","Y2010",1.01383333333333
"287","American Samoa","Y2011",0.739
"288","American Samoa","Y2012",0.798
"289","American Samoa","Y2013",0.975666666666667
"290","American Samoa","Y2014",0.813333333333333
"291","American Samoa","Y2015",0.616666666666667
"292","American Samoa","Y2016",1.14583333333333
"293","American Samoa","Y2017",0.954166666666667
"294","American Samoa","Y2018",0.845833333333333
"295","American Samoa","Y2019",1.0875
"296","Americas","Y1961",-0.0299166666666667
"297","Americas","Y1962",0.00958333333333334
