"","Country","Total"
"1","Afghanistan",11.681766
"2","Albania",4.728559
"3","Algeria",172.504477
"4","Andorra",0.448884
"5","Angola",20.275732
"6","Anguilla",0.13139
"7","Antarctica",0
"8","Antigua and Barbuda",0.425453
"9","Argentina",169.262697
"10","Armenia",6.430661
"11","Aruba",0.778954
"12","Australia",399.922128
"13","Austria",62.037447
"14","Azerbaijan",37.508016
"15","Bahamas",2.166673
"16","Bahrain",37.60275
"17","Bangladesh",90.8253
"18","Barbados",1.021586
"19","Belarus",58.592041
"20","Belgium",90.368008
"21","Belize",0.614674
"22","Benin",7.263804
"23","Bermuda",0.497405
"24","Bhutan",1.499693
"25","Bonaire, Saint Eustatius and Saba",0.09385
"26","Bosnia and Herzegovina",20.932949
"27","Botswana",6.258589
"28","Brazil",442.306003
"29","British Virgin Islands",0.143903
"30","Brunei Darussalam",10.553166
"31","Bulgaria",36.967113
"32","Burkina Faso",5.388991
"33","Burundi",0.657129
"34","Cambodia",18.703284
"35","Canada",534.863824
"36","Cape Verde",0.62508
"37","Central African Republic",0.214242
"38","Chad",1.802198
"39","Chile",83.8338
"40","China",10956.213369
"41","Christmas Island",0
"42","Colombia",85.525635
"43","Comoros",0.282485
"44","Congo",7.529862
"45","Cook Islands",0.088942
"46","Costa Rica",7.081741
"47","Côte d'Ivoire",10.963848
"48","Croatia",16.870528
"49","Cuba",19.732182
"50","Curaçao",1.673657
"51","Cyprus",7.269578
"52","Czech Republic",91.853879
"53","North Korea",55.336481
"54","Democratic Republic of the Congo",2.482881
"55","Denmark",28.282029
"56","Djibouti",0.363307
"57","Dominica",0.143903
"58","Dominican Republic",26.379835
"59","Ecuador",34.457458
"60","Egypt",235.81978
"61","El Salvador",6.500975
"62","Equatorial Guinea",4.989116
"63","Eritrea",0.78314
"64","Estonia",9.34301
"65","Ethiopia",17.040752
"66","Faeroe Islands",0.692173
"67","Micronesia (Federated States of)",0.154682
"68","Fiji",1.430807
"69","Finland",37.595927
"70","Panama Canal Zone",0
"71","France",280.031523
"72","French Equatorial Africa",0
"73","French Guiana",0.651382
"74","French Polynesia",0.924224
"75","French West Africa",0
"76","Gabon",5.692816
"77","Gambia",0.613851
"78","Georgia",10.690587
"79","Germany",639.381013
"80","Ghana",19.654351
"81","Greece",55.610277
"82","Greenland",0.500478
"83","Grenada",0.28596
"84","Guadeloupe",2.291068
"85","Guatemala",17.595579
"86","Guinea",4.532763
"87","Guinea-Bissau",0.329383
"88","Guyana",3.190965
"89","Haiti",2.617741
"90","Honduras",9.844177
"91","Hong Kong",31.504807
"92","Hungary",47.284497
"93","Iceland",3.328876
"94","India",2445.011942
"95","Indonesia",609.786127
"96","Iraq",173.507036
"97","Ireland",35.153202
